Sample,Short Code,City Code,State,City
ANCRAKXC,ANCRAK,ANCR,AK,ANCHORAGE
ANGNAKXA,ANGNAK,ANGN,AK,ANGOON
DGLSAKXA,DGLSAK,DGLS,AK,DOUGLAS
DLJTAKXA,DLJTAK,DLJT,AK,DELTA JUNCTION
ELMNAKXA,ELMNAK,ELMN,AK,ELMENDORF
ELSNAKXA,ELSNAK,ELSN,AK,EIELSON AFB
FRBNAKXA,FRBNAK,FRBN,AK,FAIRBANKS
FTRCAKXA,FTRCAK,FTRC,AK,FORT RICHARDSON
FTWRAKXA,FTWRAK,FTWR,AK,FORT WAINWRIGHT
GRWDAKXA,GRWDAK,GRWD,AK,GIRDWOOD
GSTVAKXA,GSTVAK,GSTV,AK,GUSTAVUS
HOMRAKXA,HOMRAK,HOMR,AK,HOMER
JUNEAKXA,JUNEAK,JUNE,AK,JUNEAU
KENAAKXA,KENAAK,KENA,AK,KENAI
KHNKAKXA,KHNKAK,KHNK,AK,KAKHONAK
KODKAKAG,KODKAK,KODK,AK,KODIAK
NRPLAKXA,NRPLAK,NRPL,AK,NORTH POLE
SITKAKXA,SITKAK,SITK,AK,SITKA
SLDTAKXA,SLDTAK,SLDT,AK,SOLDOTNA
ALBRALXA,ALBRAL,ALBR,AL,ALBERTA
ALBSALMA,ALBSAL,ALBS,AL,ALABASTER
ALCYALMT,ALCYAL,ALCY,AL,ALEXANDER CITY
ALVLALMA,ALVLAL,ALVL,AL,ALBERTVILLE
ANTNALMT,ANTNAL,ANTN,AL,ANNISTON
ATHNALER,ATHNAL,ATHN,AL,ATHENS
ATMRALXA,ATMRAL,ATMR,AL,ATMORE
AUBNALMA,AUBNAL,AUBN,AL,AUBURN
BLBTALXA,BLBTAL,BLBT,AL,BAYOU LA BATRE
BNKSALXA,BNKSAL,BNKS,AL,BANKS
BOAZALMA,BOAZAL,BOAZ,AL,BOAZ
BRHMALCH,BRHMAL,BRHM,AL,BIRMINGHAM
BRNDALXA,BRNDAL,BRND,AL,BRUNDIDGE
BRTOALMA,BRTOAL,BRTO,AL,BREWTON
BSMRALBP,BSMRAL,BSMR,AL,BESSEMER
BTLYALXA,BTLYAL,BTLY,AL,BRANTLEY
BYMNALMA,BYMNAL,BYMN,AL,BAY MINETTE
CALRALMA,CALRAL,CALR,AL,CALERA
CHBGALMA,CHBGAL,CHBG,AL,CHILDERSBURG
CHLSALMA,CHLSAL,CHLS,AL,CHELSEA
CLANALMA,CLANAL,CLAN,AL,CLANTON
CLMBALMA,CLMBAL,CLMB,AL,COLUMBIANA
CLMNALFA,CLMNAL,CLMN,AL,CULLMAN
CMDNALXA,CMDNAL,CMDN,AL,CAMDEN
CMPHALXA,CMPHAL,CMPH,AL,CAMP HILL
CRDVALMA,CRDVAL,CRDV,AL,CORDOVA
CRHLALNM,CRHLAL,CRHL,AL,CARBON HILL
CRLDALMA,CRLDAL,CRLD,AL,COURTLAND
CTHRALXA,CTHRAL,CTHR,AL,CATHERINE
CTRNALNM,CTRNAL,CTRN,AL,CITRONELLE
DBSPALXA,DBSPAL,DBSP,AL,DOUBLE SPRINGS
DCTRALMT,DCTRAL,DCTR,AL,DECATUR
DDVLALMA,DDVLAL,DDVL,AL,DADEVILLE
DLVLALXA,DLVLAL,DLVL,AL,DALEVILLE
DMPLALMA,DMPLAL,DMPL,AL,DEMOPOLIS
DORAALMA,DORAAL,DORA,AL,DORA
DTHNALXA,DTHNAL,DTHN,AL,DOTHAN
ECHOALXA,ECHOAL,ECHO,AL,ECHO
ECLCALXA,ECLCAL,ECLC,AL,ECLECTIC
ELBAALXA,ELBAAL,ELBA,AL,ELBA
ENTRALXA,ENTRAL,ENTR,AL,ENTERPRISE
EUFLALMA,EUFLAL,EUFL,AL,EUFAULA
EVRGALMA,EVRGAL,EVRG,AL,EVERGREEN
FLRNALMA,FLRNAL,FLRN,AL,FLORENCE
FLVLALXA,FLVLAL,FLVL,AL,FALKVILLE
FMTNALMT,FMTNAL,FMTN,AL,FLOMATON
FOLYALXB,FOLYAL,FOLY,AL,FOLEY
FTDPALMA,FTDPAL,FTDP,AL,FORT DEPOSIT
GDBAALXA,GDBAAL,GDBA,AL,GRAND BAY
GDSDALMT,GDSDAL,GDSD,AL,GADSDEN
GDWRALMA,GDWRAL,GDWR,AL,GOODWATER
GENVALXA,GENVAL,GENV,AL,GENEVA
GNBOALMA,GNBOAL,GNBO,AL,
GNVLALXA,GNVLAL,GNVL,AL,
GRDLALNM,GRDLAL,GRDL,AL,
GRGNALXA,GRGNAL,GRGN,AL,
GRLYALMA,GRLYAL,GRLY,AL,
GSPTALXA,GSPTAL,GSPT,AL,
GTVLALNM,GTVLAL,GTVL,AL,
GYVLALNM,GYVLAL,GYVL,AL,
HDLDALXA,HDLDAL,HDLD,AL,
HFLNALXA,HFLNAL,HFLN,AL,
HLVIALMA,HLVIAL,HLVI,AL,
HLVLALXA,HLVLAL,HLVL,AL,
HNVIALLW,HNVIAL,HNVI,AL,
HNVIALMT,HNVIAL,HNVI,AL,
HNVIALPW,HNVIAL,HNVI,AL,
HNVIALRW,HNVIAL,HNVI,AL,
HNVIALUN,HNVIAL,HNVI,AL,
HNVLALNM,HNVLAL,HNVL,AL,
HRFRALXA,HRFRAL,HRFR,AL,
HRTSALNM,HRTSAL,HRTS,AL,
HRTSALPE,HRTSAL,HRTS,AL,
HXFRALXA,HXFRAL,HXFR,AL,
HZGRALMA,HZGRAL,HZGR,AL,
IRSEALXA,IRSEAL,IRSE,AL,
JCSNALNM,JCSNAL,JCSN,AL,
JMSNALXA,JMSNAL,JMSN,AL,
JSPRALMT,JSPRAL,JSPR,AL,
KLLNALMA,KLLNAL,KLLN,AL,
KWLGALXA,KWLGAL,KWLG,AL,
LEDSALXA,LEDSAL,LEDS,AL,
LEDSALXB,LEDSAL,LEDS,AL,
LGTNALMA,LGTNAL,LGTN,AL,
LLLNALXA,LLLNAL,LLLN,AL,
LNCLALXA,LNCLAL,LNCL,AL,
LNDNALMA,LNDNAL,LNDN,AL,
LVRNALXA,LVRNAL,LVRN,AL,
LXLYALXA,LXLYAL,LXLY,AL,
MCCLALXA,MCCLAL,MCCL,AL,
MCINALMA,MCINAL,MCIN,AL,
MCKNALXA,MCKNAL,MCKN,AL,
MDSNALNM,MDSNAL,MDSN,AL,
MLCYALXA,MLCYAL,MLCY,AL,
MOBLALAP,MOBLAL,MOBL,AL,
MOBLALOS,MOBLAL,MOBL,AL,
MOBLALPR,MOBLAL,MOBL,AL,
MOBLALSE,MOBLAL,MOBL,AL,
MOBLALSF,MOBLAL,MOBL,AL,
MOBLALSH,MOBLAL,MOBL,AL,
MOBLALSK,MOBLAL,MOBL,AL,
MOBLALTH,MOBLAL,MOBL,AL,
MOLTALNM,MOLTAL,MOLT,AL,
MOVLALXA,MOVLAL,MOVL,AL,
MTGMALDA,MTGMAL,MTGM,AL,
MTGMALMB,MTGMAL,MTGM,AL,
MTGMALMT,MTGMAL,MTGM,AL,
MTGMALNO,MTGMAL,MTGM,AL,
MTVRALMA,MTVRAL,MTVR,AL,
NTSLALXA,NTSLAL,NTSL,AL,
NWBCALXA,NWBCAL,NWBC,AL,
NWTNALXA,NWTNAL,NWTN,AL,
OPLKALMT,OPLKAL,OPLK,AL,
ORVLALXA,ORVLAL,ORVL,AL,
OZRKALXA,OZRKAL,OZRK,AL,
PDMTALMA,PDMTAL,PDMT,AL,
PHBLALXA,PHBLAL,PHBL,AL,
PHCYALFM,PHCYAL,PHCY,AL,
PHCYALMA,PHCYAL,PHCY,AL,
PNHLALXA,PNHLAL,PNHL,AL,
PNSNALMA,PNSNAL,PNSN,AL,
PRSHALNM,PRSHAL,PRSH,AL,
PRVLALMA,PRVLAL,PRVL,AL,
RBDLALXB,RBDLAL,RBDL,AL,
RCFRALXA,RCFRAL,RCFR,AL,
RLVLALMA,RLVLAL,RLVL,AL,
RPTNALXA,RPTNAL,RPTN,AL,
RRVLALMA,RRVLAL,RRVL,AL,
SCBOALXA,SCBOAL,SCBO,AL,
SECTALXA,SECTAL,SECT,AL,
SELMALMT,SELMAL,SELM,AL,
SLCMALXA,SLCMAL,SLCM,AL,
SMNLALXA,SMNLAL,SMNL,AL,
SMNLALXB,SMNLAL,SMNL,AL,
SPVLALXA,SPVLAL,SPVL,AL,
STSNALMA,STSNAL,STSN,AL,
SYLCALMT,SYLCAL,SYLC,AL,
THMTALXA,THMTAL,THMT,AL,
THRSALXA,THRSAL,THRS,AL,
THVLALMA,THVLAL,THVL,AL,
TLDGALMA,TLDGAL,TLDG,AL,
TLLSALXA,TLLSAL,TLLS,AL,
TROYALMA,TROYAL,TROY,AL,
TSCLALDH,TSCLAL,TSCL,AL,
TSCLALMT,TSCLAL,TSCL,AL,
TSCLALNO,TSCLAL,TSCL,AL,
TSKGALMA,TSKGAL,TSKG,AL,
TSVLALXA,TSVLAL,TSVL,AL,
TWCKALMA,TWCKAL,TWCK,AL,
VNCNALMA,VNCNAL,VNCN,AL,
WCBGALXA,WCBGAL,WCBG,AL,
WEDWALXA,WEDWAL,WEDW,AL,
WRRRALNM,WRRRAL,WRRR,AL,
WTMPALMA,WTMPAL,WTMP,AL,
YORKALMA,YORKAL,YORK,AL,
ALMAARXA,ALMAAR,ALMA,AR,
ALTSARXA,ALTSAR,ALTS,AR,
AMTYARXA,AMTYAR,AMTY,AR,
ARKDARMA,ARKDAR,ARKD,AR,
ATKNARXA,ATKNAR,ATKN,AR,
BAXTARBX,BAXTAR,BAXT,AR,
BAYYARXA,BAYYAR,BAYY,AR,
BEEBARMA,BEEBAR,BEEB,AR,
BEVLARXA,BEVLAR,BEVL,AR,
BLKNARXA,BLKNAR,BLKN,AR,
BNTNARMA,BNTNAR,BNTN,AR,
BNTVARBV,BNTVAR,BNTV,AR,
BNTVARCR,BNTVAR,BNTV,AR,
BRNKARMA,BRNKAR,BRNK,AR,
BYVLARPO,BYVLAR,BYVL,AR,
CABTARXA,CABTAR,CABT,AR,
CLDNARXA,CLDNAR,CLDN,AR,
CLVLARXA,CLVLAR,CLVL,AR,
CNTRARXA,CNTRAR,CNTR,AR,
CNWYARMA,CNWYAR,CNWY,AR,
CRLSARXA,CRLSAR,CRLS,AR,
CRVLARXA,CRVLAR,CRVL,AR,
CRWYARXA,CRWYAR,CRWY,AR,
DEQNARXA,DEQNAR,DEQN,AR,
DRKSARXA,DRKSAR,DRKS,AR,
DVBLARXA,DVBLAR,DVBL,AR,
EARLARMA,EARLAR,EARL,AR,
ELANARXA,ELANAR,ELAN,AR,
EMSPARXA,EMSPAR,EMSP,AR,
